id;title;description;start_date;end_date;budget;item_serial;is_waranty;notes
1;communities;solution Gorgeous GB;2022-12-23T05:15:49;2022-12-22T15:21:54;27539;tolerance primary;false;Namibia Profound override
2;hacking;Account iterate;2022-12-23T03:20:54;2022-12-22T16:35:28;65377;mission-critical Automated Market;false;program Garden
3;Communications deposit systemic;Incredible;2022-12-22T17:01:31;2022-12-22T20:10:30;85193;modular quantifying Chips;false;evolve Tuna
4;5th Car;Principal Tasty ADP;2022-12-22T19:49:26;2022-12-23T01:41:43;91113;infomediaries Jewelery;true;Fantastic
5;Security action-items;Account;2022-12-23T10:40:58;2022-12-23T10:07:31;59297;Officer Singapore;true;Architect
6;interactive Steel;withdrawal schemas Hollow;2022-12-22T20:58:04;2022-12-23T07:00:22;791;Down-sized Metical Self-enabling;false;Regional Sports B2B
7;Tools cross-platform empowering;Functionality Florida;2022-12-23T03:05:56;2022-12-23T02:55:22;24748;Customer;true;Brooks
8;portal;methodologies up;2022-12-23T09:54:24;2022-12-22T15:12:12;17506;Books;false;web-readiness Practical
9;productize Chips Universal;Regional Maryland channels;2022-12-22T20:30:35;2022-12-22T18:04:20;75517;Honduras Card;true;port withdrawal
10;brand;Borders optical Facilitator;2022-12-22T18:25:14;2022-12-22T15:06:06;41529;Kuwaiti deploy;false;auxiliary deposit
